FIR Number,Date and Time,Location,Latitude,Longitude,Accused Information,Accused email,criminal information,Incident Description,Crime Type
FIR2024734,23-04-2024 12:40,Bangalore,12.9715987,77.5945627,Sanjay Verma,sanjay@email.com,Anita Reddy,Domestic Violence,Protection of Women from Domestic Violence Act
FIR2024735,24-04-2024 15:00,Hyderabad,17.385044,78.486671,Gaurav Tiwari,gaurav@email.com,Komal Sharma,Burglary,IPC 454
FIR2024736,25-04-2024 10:15,Lucknow,26.8466937,80.946166,Kavita Gupta,kavita@email.com,Krishna Das,Kidnapping of a Minor,IPC 363
FIR2024737,26-04-2024 19:20,Delhi,28.7040592,77.1024902,Harish Mehta,harish@email.com,Rekha Verma,Physical Assault,IPC 351
FIR2024738,27-04-2024 08:45,Mumbai,19.0759837,72.8776559,Ankit Yadav,ankit@email.com,Divya Kapoor,Robbery at Jewelry Store,IPC 392
FIR2024739,28-04-2024 14:10,Bangalore,12.9715987,77.5945627,Prerna Das,prerna@email.com,Vijay Kumar,Theft of Mobile Phone,IPC 379
FIR2024740,29-04-2024 17:35,Chennai,13.0826802,80.2707184,Ashish Mehta,ashish@email.com,Priyanka Tiwari,Robbery at Bank,IPC 392
FIR2024741,30-04-2024 09:05,Kolkata,22.572646,88.363895,Vinod Gupta,vinod@email.com,Nisha Sharma,Robbery at Electronics Store,IPC 392
FIR2024742,01-05-2024 12:15,Jaipur,26.9124336,75.7872709,Anita Reddy,anita@email.com,Anand Das,Theft of Valuables,IPC 379
FIR2024743,02-05-2024 15:45,Delhi,28.7040592,77.1024902,Neeraj Kumar,neeraj@email.com,Komal Verma,Burglary at Residence,IPC 454
FIR2024744,03-05-2024 10:10,Mumbai,19.0759837,72.8776559,Aparna Tiwari,aparna@email.com,Rahul Singh,Drug Trafficking,NDPS Act
FIR2024745,04-05-2024 08:20,Bangalore,12.9715987,77.5945627,Pradeep Mehta,pradeep@email.com,Sneha Kapoor,Cyber Fraud,IT Act
FIR2024746,05-05-2024 16:30,Hyderabad,17.385044,78.486671,Anupam Sharma,anupam@email.com,Vaishali Das,Human Trafficking,IPC 370
FIR2024747,06-05-2024 09:50,Pune,18.5204303,73.8567437,Ritu Verma,ritu@email.com,Vinay Mehta,Counterfeiting Currency,IPC 489-B
FIR2024748,07-05-2024 14:55,Jaipur,26.9124336,75.7872709,Anirudh Das,anirudh@email.com,Rachna Tiwari,Public Nuisance,IPC 268
FIR2024749,08-05-2024 18:10,Delhi,28.7040592,77.1024902,Pallavi Gupta,pallavi@email.com,Rohan Verma,Cyberbullying,IT Act
FIR2024750,09-05-2024 07:30,Mumbai,19.0759837,72.8776559,Abhinav Sharma,abhinav@email.com,Kritika Kapoor,Stalking and Harassment,IPC 354D
FIR2024751,10-05-2024 16:25,Chennai,13.0826802,80.2707184,Prakash Mehta,prakash@email.com,Deepa Verma,Illegal Gambling,Various Gambling Laws
FIR2024752,11-05-2024 12:40,Bangalore,12.9715987,77.5945627,Komal Reddy,komal@email.com,Sanjay Das,Child Abuse,IPC 370
FIR2024753,12-05-2024 08:15,Hyderabad,17.385044,78.486671,Aditi Singh,aditi@email.com,Anil Yadav,Money Laundering,Prevention of Money Laundering Act
FIR2024754,13-05-2024 14:20,Pune,18.5204303,73.8567437,Anuj Das,anuj@email.com,Megha Tiwari,Animal Cruelty,IPC 428
FIR2024755,14-05-2024 10:55,Jaipur,26.9124336,75.7872709,Varun Kapoor,varun@email.com,Simran Mehta,Identity Theft,IPC 420
FIR2024756,15-05-2024 07:40,Delhi,28.7040592,77.1024902,Kirti Mehta,kirti@email.com,Vivek Verma,Domestic Violence,Protection of Women from Domestic Violence Act
FIR2024757,16-05-2024 17:15,Mumbai,19.0759837,72.8776559,Rohini Yadav,rohini@email.com,Rajesh Mehta,Burglary,IPC 454
FIR2024758,17-05-2024 10:15,Bangalore,12.9715987,77.5945627,Alok Verma,alok@email.com,Ananya Tiwari,Kidnapping of a Minor,IPC 363
FIR2024759,18-05-2024 19:20,Chennai,13.0826802,80.2707184,Shashi Kapoor,shashi@email.com,Aditi Sharma,Physical Assault,IPC 351
FIR2024760,19-05-2024 08:45,Hyderabad,17.385044,78.486671,Sandhya Verma,sandhya@email.com,Sumit Mehta,Robbery at Jewelry Store,IPC 392
FIR2024761,20-05-2024 14:10,Pune,18.5204303,73.8567437,Ramesh Mehta,ramesh@email.com,Kusum Tiwari,Theft of Mobile Phone,IPC 379
FIR2024762,21-05-2024 17:35,Jaipur,26.9124336,75.7872709,Aman Verma,aman@email.com,Anu Das,Robbery at Bank,IPC 392
FIR2024763,22-05-2024 09:05,Delhi,28.7040592,77.1024902,Rina Gupta,rina@email.com,Sunil Kumar,Robbery at Electronics Store,IPC 392
FIR2024764,23-05-2024 12:15,Mumbai,19.0759837,72.8776559,Meghna Sharma,meghna@email.com,Arjun Kapoor,Theft of Valuables,IPC 379
FIR2024765,24-05-2024 15:45,Chennai,13.0826802,80.2707184,Anup Verma,anup@email.com,Sangeeta Das,Burglary at Residence,IPC 454
FIR2024766,25-05-2024 10:10,Bangalore,12.9715987,77.5945627,Parul Tiwari,parul@email.com,Amita Reddy,Drug Trafficking,NDPS Act
FIR2024767,26-05-2024 08:20,Hyderabad,17.385044,78.486671,Subhash Kapoor,subhash@email.com,Kiran Mehta,Cyber Fraud,IT Act
FIR2024768,27-05-2024 16:30,Pune,18.5204303,73.8567437,Vikram Mehta,vikram@email.com,Manisha Tiwari,Human Trafficking,IPC 370
FIR2024769,28-05-2024 09:50,Jaipur,26.9124336,75.7872709,Nisha Verma,nisha@email.com,Virendra Das,Counterfeiting Currency,IPC 489-B
FIR2024770,29-05-2024 14:55,Delhi,28.7040592,77.1024902,Rishi Tiwari,rishi@email.com,Deepika Verma,Public Nuisance,IPC 268
FIR2024771,30-05-2024 18:10,Mumbai,19.0759837,72.8776559,Varsha Das,varsha@email.com,Arvind Tiwari,Cyberbullying,IT Act
FIR2024772,31-05-2024 07:30,Bangalore,12.9715987,77.5945627,Prabhat Kapoor,prabhat@email.com,Priyanka Verma,Stalking and Harassment,IPC 354D
FIR2024773,01-06-2024 16:25,Chennai,13.0826802,80.2707184,Alka Mehta,alka@email.com,Vinod Yadav,Illegal Gambling,Various Gambling Laws
FIR2024774,02-06-2024 12:40,Bangalore,12.9715987,77.5945627,Sunaina Reddy,sunaina@email.com,Anil Sharma,Child Abuse,IPC 370
FIR2024775,03-06-2024 08:15,Hyderabad,17.385044,78.486671,Prashant Kapoor,prashant@email.com,Seema Tiwari,Money Laundering,Prevention of Money Laundering Act
FIR2024776,04-06-2024 14:20,Pune,18.5204303,73.8567437,Deepak Das,deepak@email.com,Meera Verma,Animal Cruelty,IPC 428
FIR2024777,05-06-2024 10:55,Jaipur,26.9124336,75.7872709,Arun Mehta,arun@email.com,Anjali Kapoor,Identity Theft,IPC 420
FIR2024778,06-06-2024 07:40,Delhi,28.7040592,77.1024902,Alok Tiwari,alok@email.com,Shweta Verma,Domestic Violence,Protection of Women from Domestic Violence Act
FIR2024779,07-06-2024 17:15,Mumbai,19.0759837,72.8776559,Rajeev Verma,rajeev@email.com,Manju Sharma,Burglary,IPC 454
FIR2024780,08-06-2024 10:15,Bangalore,12.9715987,77.5945627,Anjali Kapoor,anjali@email.com,Prakash Mehta,Kidnapping of a Minor,IPC 363
FIR2024781,09-06-2024 19:20,Chennai,13.0826802,80.2707184,Gaurav Verma,gaurav@email.com,Rekha Tiwari,Physical Assault,IPC 351
FIR2024782,10-06-2024 08:45,Hyderabad,17.385044,78.486671,Sonal Das,sonal@email.com,Ankit Verma,Robbery at Jewelry Store,IPC 392
FIR2024783,11-06-2024 14:10,Pune,18.5204303,73.8567437,Asha Mehta,asha@email.com,Avinash Das,Theft of Mobile Phone,IPC 379
FIR2024784,12-06-2024 17:35,Jaipur,26.9124336,75.7872709,Anil Yadav,anil@email.com,Deepika Verma,Robbery at Bank,IPC 392
FIR2024785,13-06-2024 09:05,Delhi,28.7040592,77.1024902,Poonam Das,poonam@email.com,Anuj Tiwari,Robbery at Electronics Store,IPC 392
FIR2024786,14-06-2024 12:15,Mumbai,19.0759837,72.8776559,Ravi Kapoor,ravi@email.com,Rachana Sharma,Theft of Valuables,IPC 379
FIR2024787,15-06-2024 15:45,Chennai,13.0826802,80.2707184,Meenakshi Verma,meenakshi@email.com,Kuldeep Mehta,Burglary at Residence,IPC 454
FIR2024788,16-06-2024 10:10,Bangalore,12.9715987,77.5945627,Kunal Mehta,kunal@email.com,Kavita Das,Drug Trafficking,NDPS Act
FIR2024789,17-06-2024 08:20,Hyderabad,17.385044,78.486671,Simran Kapoor,simran@email.com,Santosh Yadav,Cyber Fraud,IT Act
FIR2024790,18-06-2024 16:30,Pune,18.5204303,73.8567437,Rishi Mehta,rishi@email.com,Neha Verma,Human Trafficking,IPC 370
FIR2024791,19-06-2024 09:50,Jaipur,26.9124336,75.7872709,Priyanka Das,priyanka@email.com,Sanjay Mehta,Counterfeiting Currency,IPC 489-B
FIR2024792,20-06-2024 14:55,Delhi,28.7040592,77.1024902,Abhishek Tiwari,abhishek@email.com,Anita Yadav,Public Nuisance,IPC 268
FIR2024793,21-06-2024 18:10,Mumbai,19.0759837,72.8776559,Richa Verma,richa@email.com,Ashok Mehta,Cyberbullying,IT Act
FIR2024794,22-06-2024 07:30,Bangalore,12.9715987,77.5945627,Sameer Das,sameer@email.com,Kiran Sharma,Stalking and Harassment,IPC 354D
FIR2024795,23-06-2024 16:25,Chennai,13.0826802,80.2707184,Anil Verma,anil@email.com,Kavita Tiwari,Illegal Gambling,Various Gambling Laws
FIR2024796,24-06-2024 12:40,Bangalore,12.9715987,77.5945627,Arjun Yadav,arjun@email.com,Ritu Kapoor,Child Abuse,IPC 370
FIR2024797,25-06-2024 08:15,Hyderabad,17.385044,78.486671,Nisha Sharma,nisha@email.com,Sunil Mehta,Money Laundering,Prevention of Money Laundering Act
FIR2024798,26-06-2024 14:20,Pune,18.5204303,73.8567437,Rahul Mehta,rahul@email.com,Anjali Kapoor,Animal Cruelty,IPC 428
FIR2024799,27-06-2024 10:55,Jaipur,26.9124336,75.7872709,Alok Mehta,alok@email.com,Prabhat Tiwari,Identity Theft,IPC 420
FIR2024800,28-06-2024 07:40,Delhi,28.7040592,77.1024902,Sonam Verma,sonam@email.com,Kunal Kapoor,Domestic Violence,Protection of Women from Domestic Violence Act
FIR2024801,29-06-2024 17:15,Mumbai,19.0759837,72.8776559,Virendra Mehta,virendra@email.com,Geeta Tiwari,Burglary,IPC 454
FIR2024802,30-06-2024 10:15,Bangalore,12.9715987,77.5945627,Anu Yadav,anu@email.com,Rahul Sharma,Kidnapping of a Minor,IPC 363
FIR2024803,01-07-2024 19:20,Chennai,13.0826802,80.2707184,Preeti Mehta,preeti@email.com,Sanjay Yadav,Physical Assault,IPC 351
FIR2024804,02-07-2024 08:45,Hyderabad,17.385044,78.486671,Kusum Das,kusum@email.com,Arvind Mehta,Robbery at Jewelry Store,IPC 392
