REGISTERED DISTRICT,Registered PS,Latitude,Longitude,FIR Number,Accused Information,Accused email,criminal information,Incident Description,Crime Type,DateTime
AFZALGARH,BIJNOR,29.394565,78.6767477,FIR2024707,Ranjit Das,ranjit@email.com,Sumitra Gupta,Arson,IPC 435,2024-03-27 11:15:00
DHAMPUR,BIJNOR,29.3080255,78.5033076,FIR2024708,Aisha Khan,aisha@email.com,Alok Tiwari,Domestic Violence,Protection of Women from Domestic Violence Act,2024-03-28 07:30:00
DHAMPUR,BIJNOR,29.3080255,78.5033076,FIR2024709,Preeti Jain,preeti@email.com,Rahul Mehta,Corruption,Prevention of Corruption Act,2024-03-29 15:20:00
SHIKARPUR,BULANDSHAHAR,28.2797558,78.0109764,FIR2024710,Rohit Kapoor,rohit@email.com,Sima Agarwal,Environmental Pollution,Various Environmental Laws,2024-03-30 13:45:00
GULAOTHI,HAPUR,28.5902291,77.7936081,FIR2024711,Aditya Verma,aditya@email.com,Deepa Sharma,Cyber Fraud,IT Act,2024-03-31 16:25:00
ALI NAGAR,ALLAHABAD,25.4194391,81.8149982,FIR2024712,Maya Reddy,maya@email.com,Santosh Kumar,Child Trafficking,IPC 370,2024-04-01 09:15:00
CHAKIYA,MIRZAPUR,25.2486153,82.7657231,FIR2024713,Kamal Singh,kamal@email.com,Rani Verma,Robbery at Jewelry Store,IPC 392,2024-04-02 12:30:00
CHAKIYA,MIRZAPUR,25.2486153,82.7657231,FIR2024714,Meera Sen,meera@email.com,Arvind Kumar,Theft of Mobile Phone,IPC 379,2024-04-03 18:10:00
SAKALDEEHA,VARANASI,25.3206306,83.0554118,FIR2024715,Ravi Gupta,ravi@email.com,Sunita Verma,Physical Assault at Park,IPC 351,2024-04-04 10:40:00
SYED RAZA,VARANASI,25.3176452,82.9739144,FIR2024716,Sumit Shah,sumit@email.com,Priya Das,Robbery at Bank,IPC 392,2024-04-05 14:55:00
ELIYA,VARANASI,25.3176452,82.9739144,FIR2024717,Neha Yadav,neha@email.com,Anil Tiwari,Robbery at Electronics Store,IPC 392,2024-04-06 19:30:00
KANDAWA,VARANASI,25.2613568,82.9635978,FIR2024718,Vijay Reddy,vijay@email.com,Leela Nair,Theft of Valuables,IPC 379,2024-04-07 08:50:00
ALI NAGAR,VARANASI,25.3176452,82.9739144,FIR2024719,Rajesh Mehta,rajesh@email.com,Kavita Sharma,Burglary at Residence,IPC 454,2024-04-08 11:10:00
ALI NAGAR,VARANASI,25.3176452,82.9739144,FIR2024720,Mohan Das,mohan@email.com,Asha Gupta,Kidnapping of a Minor,IPC 363,2024-04-09 16:45:00
ALI NAGAR,VARANASI,25.3176452,82.9739144,FIR2024721,Priya Singh,priya@email.com,Rahul Kapoor,Forgery of Documents,IPC 467,2024-04-10 13:30:00
CHANDAULI,VARANASI,25.3176452,82.9739144,FIR2024722,Nikhil Sharma,nikhil@email.com,Megha Verma,Drug Trafficking,NDPS Act,2024-04-11 09:25:00
CHANDAULI,VARANASI,25.3176452,82.9739144,FIR2024723,Poonam Kapoor,poonam@email.com,Manoj Tiwari,Cyber Fraud,IT Act,2024-04-12 08:15:00
CHANDAULI,VARANASI,25.3176452,82.9739144,FIR2024724,Rajiv Gupta,rajiv@email.com,Geeta Das,Human Trafficking,IPC 370,2024-04-13 14:20:00
CHANDAULI,VARANASI,25.3176452,82.9739144,FIR2024725,Shyam Kumar,shyam@email.com,Savita Reddy,Counterfeiting Currency,IPC 489-B,2024-04-14 10:55:00
CHANDAULI,VARANASI,25.3176452,82.9739144,FIR2024726,Ananya Das,ananya@email.com,Rahul Sen,Public Nuisance,IPC 268,2024-04-15 07:40:00
DHINA,VARANASI,25.3176452,82.9739144,FIR2024727,Raghav Sharma,raghav@email.com,Kiran Verma,Cyberbullying,IT Act,2024-04-16 17:15:00
MUGHAL SARAI,VARANASI,25.2837754,83.1155672,FIR2024728,Sandeep Mehta,sandeep@email.com,Sonia Kapoor,Stalking and Harassment,IPC 354D,2024-04-17 12:05:00
ALI NAGAR,CHANDAULI,25.2711026,83.1394359,FIR2024729,Tanvi Singh,tanvi@email.com,Arvind Das,Illegal Gambling,Various Gambling Laws,2024-04-18 14:30:00
BABURI,CHANDAULI,25.1716511,83.1890148,FIR2024730,Aditi Tiwari,aditi@email.com,Prakash Reddy,Child Abuse,IPC 370,2024-04-19 08:35:00
CHANDAULI,CHANDAULI,25.2604696,83.264538,FIR2024731,Amit Verma,amit@email.com,Poonam Gupta,Money Laundering,Prevention of Money Laundering Act,2024-04-20 10:20:00
CHANDAULI,CHANDAULI,25.2604696,83.264538,FIR2024732,Sunil Yadav,sunil@email.com,Neeta Sharma,Animal Cruelty,IPC 428,2024-04-21 16:50:00
DHINA,CHANDAULI,25.3440257,83.4152942,FIR2024733,Renuka Das,renuka@email.com,Vikas Mehta,Identity Theft,IPC 420,2024-04-22 08:30:00
DHINA,CHANDAULI,25.3440257,83.4152942,FIR2024734,Sanjay Verma,sanjay@email.com,Anita Reddy,Domestic Violence,Protection of Women from Domestic Violence Act,2024-04-23 12:40:00
DHINA,CHANDAULI,25.3440257,83.4152942,FIR2024735,Gaurav Tiwari,gaurav@email.com,Komal Sharma,Burglary,IPC 454,2024-04-24 15:00:00
PAHARI,CHITRAKOOT,25.2324388,81.2160809,FIR2024736,Kavita Gupta,kavita@email.com,Krishna Das,Kidnapping of a Minor,IPC 363,2024-04-25 10:15:00
KARVI KOTWALI NAGAR,CHITRAKOOT,25.2164612,80.9175766,FIR2024737,Harish Mehta,harish@email.com,Rekha Verma,Physical Assault,IPC 351,2024-04-26 19:20:00
PAHARI,CHITRAKOOT,25.2324388,81.2160809,FIR2024738,Ankit Yadav,ankit@email.com,Divya Kapoor,Robbery at Jewelry Store,IPC 392,2024-04-27 08:45:00
PAHARI,CHITRAKOOT,25.2324388,81.2160809,FIR2024739,Prerna Das,prerna@email.com,Vijay Kumar,Theft of Mobile Phone,IPC 379,2024-04-28 14:10:00
GRP DEORIA,BASTI,26.5024286,83.7791283,FIR2024740,Ashish Mehta,ashish@email.com,Priyanka Tiwari,Robbery at Bank,IPC 392,2024-04-29 17:35:00
GRP DEORIA,BASTI,26.5024286,83.7791283,FIR2024741,Vinod Gupta,vinod@email.com,Nisha Sharma,Robbery at Electronics Store,IPC 392,2024-04-30 09:05:00
GRP DEORIA,GONDA,27.0374187,81.9534815,FIR2024742,Anita Reddy,anita@email.com,Anand Das,Theft of Valuables,IPC 379,2024-05-01 12:15:00
GRP DEORIA,GONDA,27.0374187,81.9534815,FIR2024743,Neeraj Kumar,neeraj@email.com,Komal Verma,Burglary at Residence,IPC 454,2024-05-02 15:45:00
RUDRAPUR,DEORIA,26.429255,83.6103533,FIR2024744,Aparna Tiwari,aparna@email.com,Rahul Singh,Drug Trafficking,NDPS Act,2024-05-03 10:10:00
RUDRAPUR,DEORIA,26.429255,83.6103533,FIR2024745,Pradeep Mehta,pradeep@email.com,Sneha Kapoor,Cyber Fraud,IT Act,2024-05-04 08:20:00
RUDRAPUR,DEORIA,26.429255,83.6103533,FIR2024746,Anupam Sharma,anupam@email.com,Vaishali Das,Human Trafficking,IPC 370,2024-05-05 16:30:00
RUDRAPUR,DEORIA,26.429255,83.6103533,FIR2024747,Ritu Verma,ritu@email.com,Vinay Mehta,Counterfeiting Currency,IPC 489-B,2024-05-06 09:50:00
GRP DEORIA,DEORIA,26.5024286,83.7791283,FIR2024748,Anirudh Das,anirudh@email.com,Rachna Tiwari,Public Nuisance,IPC 268,2024-05-07 14:55:00
GRP DEORIA,DEORIA,26.5024286,83.7791283,FIR2024749,Pallavi Gupta,pallavi@email.com,Rohan Verma,Cyberbullying,IT Act,2024-05-08 18:10:00
GRP DEORIA,KANPUR CITY,26.5024286,83.7791283,FIR2024750,Abhinav Sharma,abhinav@email.com,Kritika Kapoor,Stalking and Harassment,IPC 354D,2024-05-09 07:30:00
GRP DEORIA,JHANSI,25.4484257,78.5684594,FIR2024751,Prakash Mehta,prakash@email.com,Deepa Verma,Illegal Gambling,Various Gambling Laws,2024-05-10 16:25:00
GRP DEORIA,MIRZAPUR,26.5024286,83.7791283,FIR2024752,Komal Reddy,komal@email.com,Sanjay Das,Child Abuse,IPC 370,2024-05-11 12:40:00
GRP BHATNI,VARANASI,25.3176452,82.9739144,FIR2024753,Aditi Singh,aditi@email.com,Anil Yadav,Money Laundering,Prevention of Money Laundering Act,2024-05-12 08:15:00
GRP DEORIA,MAU,26.5024286,83.7791283,FIR2024754,Anuj Das,anuj@email.com,Megha Tiwari,Animal Cruelty,IPC 428,2024-05-13 14:20:00
GRP DEORIA,MAU,26.5024286,83.7791283,FIR2024755,Varun Kapoor,varun@email.com,Simran Mehta,Identity Theft,IPC 420,2024-05-14 10:55:00
GRP DEORIA,MAU,26.5024286,83.7791283,FIR2024756,Kirti Mehta,kirti@email.com,Vivek Verma,Domestic Violence,Protection of Women from Domestic Violence Act,2024-05-15 07:40:00
GRP DEORIA,MAU,26.5024286,83.7791283,FIR2024757,Rohini Yadav,rohini@email.com,Rajesh Mehta,Burglary,IPC 454,2024-05-16 17:15:00
GRP DEORIA,MAU,26.5024286,83.7791283,FIR2024758,Alok Verma,alok@email.com,Ananya Tiwari,Kidnapping of a Minor,IPC 363,2024-05-17 10:15:00
GRP DEORIA,MAU,26.5024286,83.7791283,FIR2024759,Shashi Kapoor,shashi@email.com,Aditi Sharma,Physical Assault,IPC 351,2024-05-18 19:20:00
GRP DEORIA,GORAKHPUR,26.7605545,83.3731675,FIR2024760,Sandhya Verma,sandhya@email.com,Sumit Mehta,Robbery at Jewelry Store,IPC 392,2024-05-19 08:45:00
GRP DEORIA,GORAKHPUR,26.7605545,83.3731675,FIR2024761,Ramesh Mehta,ramesh@email.com,Kusum Tiwari,Theft of Mobile Phone,IPC 379,2024-05-20 14:10:00
GRP DEORIA,GORAKHPUR,26.7605545,83.3731675,FIR2024762,Aman Verma,aman@email.com,Anu Das,Robbery at Bank,IPC 392,2024-05-21 17:35:00
GRP DEORIA,GORAKHPUR,26.7605545,83.3731675,FIR2024763,Rina Gupta,rina@email.com,Sunil Kumar,Robbery at Electronics Store,IPC 392,2024-05-22 09:05:00
GRP DEORIA,GORAKHPUR,26.7605545,83.3731675,FIR2024764,Meghna Sharma,meghna@email.com,Arjun Kapoor,Theft of Valuables,IPC 379,2024-05-23 12:15:00
GRP DEORIA,GORAKHPUR,26.7605545,83.3731675,FIR2024765,Anup Verma,anup@email.com,Sangeeta Das,Burglary at Residence,IPC 454,2024-05-24 15:45:00
GRP BHATNI,GORAKHPUR,26.7605545,83.3731675,FIR2024766,Parul Tiwari,parul@email.com,Amita Reddy,Drug Trafficking,NDPS Act,2024-05-25 10:10:00
GRP BHATNI,GORAKHPUR,26.7605545,83.3731675,FIR2024767,Subhash Kapoor,subhash@email.com,Kiran Mehta,Cyber Fraud,IT Act,2024-05-26 08:20:00
GRP BHATNI,GORAKHPUR,26.7605545,83.3731675,FIR2024768,Vikram Mehta,vikram@email.com,Manisha Tiwari,Human Trafficking,IPC 370,2024-05-27 16:30:00
GRP DEORIA,SANT KABEER NAGAR,26.9566187,82.986443,FIR2024769,Nisha Verma,nisha@email.com,Virendra Das,Counterfeiting Currency,IPC 489-B,2024-05-28 09:50:00
GRP BHATNI,FIROZABAD,27.1591961,78.3957331,FIR2024770,Rishi Tiwari,rishi@email.com,Deepika Verma,Public Nuisance,IPC 268,2024-05-29 14:55:00
GRP BHATNI,LUCKNOW,26.8466937,80.946166,FIR2024771,Varsha Das,varsha@email.com,Arvind Tiwari,Cyberbullying,IT Act,2024-05-30 18:10:00
GRP BHATNI,LUCKNOW,26.8466937,80.946166,FIR2024772,Prabhat Kapoor,prabhat@email.com,Priyanka Verma,Stalking and Harassment,IPC 354D,2024-05-31 07:30:00
MARHARA,ETAH,27.7362091,78.5686074,FIR2024773,Alka Mehta,alka@email.com,Vinod Yadav,Illegal Gambling,Various Gambling Laws,2024-06-01 16:25:00
JALESAR,ETAH,27.4714557,78.3102489,FIR2024774,Sunaina Reddy,sunaina@email.com,Anil Sharma,Child Abuse,IPC 370,2024-06-02 12:40:00
JALESAR,AGRA,27.2408984,78.0510655,FIR2024775,Prashant Kapoor,prashant@email.com,Seema Tiwari,Money Laundering,Prevention of Money Laundering Act,2024-06-03 08:15:00
KOTWALI,AGRA,27.2244285,78.0103571,FIR2024776,Deepak Das,deepak@email.com,Meera Verma,Animal Cruelty,IPC 428,2024-06-04 14:20:00
MARHARA,AGRA,27.1766701,78.0080745,FIR2024777,Arun Mehta,arun@email.com,Anjali Kapoor,Identity Theft,IPC 420,2024-06-05 10:55:00
MARHARA,ALIGARH,27.7362091,78.5686074,FIR2024778,Alok Tiwari,alok@email.com,Shweta Verma,Domestic Violence,Protection of Women from Domestic Violence Act,2024-06-06 07:40:00
PILUA,ALIGARH,27.8973944,78.0880129,FIR2024779,Rajeev Verma,rajeev@email.com,Manju Sharma,Burglary,IPC 454,2024-06-07 17:15:00
NAYAGAON,FATEHGARH,27.3672904,79.6221368,FIR2024780,Anjali Kapoor,anjali@email.com,Prakash Mehta,Kidnapping of a Minor,IPC 363,2024-06-08 10:15:00
ALIGANJ,FATEHGARH,26.8983705,80.9491069,FIR2024781,Gaurav Verma,gaurav@email.com,Rekha Tiwari,Physical Assault,IPC 351,2024-06-09 19:20:00
PILUA,BARABANKI,26.9268042,81.1833809,FIR2024782,Sonal Das,sonal@email.com,Ankit Verma,Robbery at Jewelry Store,IPC 392,2024-06-10 08:45:00
AWAGARH,KANPUR DEHAT,26.526707,79.8296743,FIR2024783,Asha Mehta,asha@email.com,Avinash Das,Theft of Mobile Phone,IPC 379,2024-06-11 14:10:00
JALESAR,HATHRAS,27.5866333,78.0697197,FIR2024784,Anil Yadav,anil@email.com,Deepika Verma,Robbery at Bank,IPC 392,2024-06-12 17:35:00
MARHARA,HATHRAS,27.5980718,78.0492265,FIR2024785,Poonam Das,poonam@email.com,Anuj Tiwari,Robbery at Electronics Store,IPC 392,2024-06-13 09:05:00
MARHARA,HATHRAS,27.5980718,78.0492265,FIR2024786,Ravi Kapoor,ravi@email.com,Rachana Sharma,Theft of Valuables,IPC 379,2024-06-14 12:15:00
PILUA,KASGANJ,27.808529,78.6461098,FIR2024787,Meenakshi Verma,meenakshi@email.com,Kuldeep Mehta,Burglary at Residence,IPC 454,2024-06-15 15:45:00
ALIGANJ,KASGANJ,27.808529,78.6461098,FIR2024788,Kunal Mehta,kunal@email.com,Kavita Das,Drug Trafficking,NDPS Act,2024-06-16 10:10:00
SAKEET,AURAIYA,26.4605377,79.5112528,FIR2024789,Simran Kapoor,simran@email.com,Santosh Yadav,Cyber Fraud,IT Act,2024-06-17 08:20:00
CIVIL LINES,FATEHGARH,27.3636457,79.6365257,FIR2024790,Rishi Mehta,rishi@email.com,Neha Verma,Human Trafficking,IPC 370,2024-06-18 16:30:00
BASREHAR,ETAWAH,26.8500747,79.0906193,FIR2024791,Priyanka Das,priyanka@email.com,Sanjay Mehta,Counterfeiting Currency,IPC 489-B,2024-06-19 09:50:00
BALRAI,ETAWAH,26.9208482,78.830124,FIR2024792,Abhishek Tiwari,abhishek@email.com,Anita Yadav,Public Nuisance,IPC 268,2024-06-20 14:55:00
KOTWALI,ETAWAH,26.7829103,79.027659,FIR2024793,Richa Verma,richa@email.com,Ashok Mehta,Cyberbullying,IT Act,2024-06-21 18:10:00
KOTWALI,ETAWAH,26.7829103,79.027659,FIR2024794,Sameer Das,sameer@email.com,Kiran Sharma,Stalking and Harassment,IPC 354D,2024-06-22 07:30:00
KOTWALI,ETAWAH,26.7829103,79.027659,FIR2024795,Anil Verma,anil@email.com,Kavita Tiwari,Illegal Gambling,Various Gambling Laws,2024-06-23 16:25:00
SEFAI,FIROZABAD,27.1591961,78.3957331,FIR2024796,Arjun Yadav,arjun@email.com,Ritu Kapoor,Child Abuse,IPC 370,2024-06-24 12:40:00
KUMARGANJ,PRATAPGARH,26.5467759,81.8401957,FIR2024797,Nisha Sharma,nisha@email.com,Sunil Mehta,Money Laundering,Prevention of Money Laundering Act,2024-06-25 08:15:00
KOTWALI BIKAPUR,PRATAPGARH,26.596963,82.1332818,FIR2024798,Rahul Mehta,rahul@email.com,Anjali Kapoor,Animal Cruelty,IPC 428,2024-06-26 14:20:00
HAIDERGANJ,FAIZABAD,26.7729751,82.1457934,FIR2024799,Alok Mehta,alok@email.com,Prabhat Tiwari,Identity Theft,IPC 420,2024-06-27 10:55:00
KOTWALI NAGAR,FAIZABAD,26.7729751,82.1457934,FIR2024800,Sonam Verma,sonam@email.com,Kunal Kapoor,Domestic Violence,Protection of Women from Domestic Violence Act,2024-06-28 07:40:00
KOTWALI NAGAR,FAIZABAD,26.7729751,82.1457934,FIR2024801,Virendra Mehta,virendra@email.com,Geeta Tiwari,Burglary,IPC 454,2024-06-29 17:15:00
KOTWALI NAGAR,FAIZABAD,26.7729751,82.1457934,FIR2024802,Anu Yadav,anu@email.com,Rahul Sharma,Kidnapping of a Minor,IPC 363,2024-06-30 10:15:00
RAUNAHI,FAIZABAD,26.7729751,82.1457934,FIR2024803,Preeti Mehta,preeti@email.com,Sanjay Yadav,Physical Assault,IPC 351,2024-07-01 19:20:00
RAUNAHI,FAIZABAD,26.7729751,82.1457934,FIR2024804,Kusum Das,kusum@email.com,Arvind Mehta,Robbery at Jewelry Store,IPC 392,2024-07-02 08:45:00
